Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BuggyCarRating - TestSuite Report,Chrome 105.0.0.0,,,2022-09-11 23:54:10,2022-09-11 23:55:50,1m - 40.435s,PASSED
,,,,,,,
Test Cases/TC01_Login,Chrome 105.0.0.0,,,2022-09-11 23:54:10,2022-09-11 23:54:21,11.232s,PASSED
"openBrowser(""https://buggy.justtestit.org/"")",Chrome 105.0.0.0,,,2022-09-11 23:54:11,2022-09-11 23:54:16,5.610s,PASSED
maximizeWindow(),Chrome 105.0.0.0,,,2022-09-11 23:54:16,2022-09-11 23:54:17,0.210s,PASSED
deleteAllCookies(),Chrome 105.0.0.0,,,2022-09-11 23:54:17,2022-09-11 23:54:17,0.093s,PASSED
"setText(findTestObject(""Object Repository/BuggyCarRating/Login/input_Login""), ""spsanthoshprabu@gmail.com"")",Chrome 105.0.0.0,,,2022-09-11 23:54:17,2022-09-11 23:54:18,1.142s,PASSED
"setEncryptedText(findTestObject(""Object Repository/BuggyCarRating/Login/input_Password""), ""ru9bE3O26ILCNJ+iu/sjaQ=="")",Chrome 105.0.0.0,,,2022-09-11 23:54:18,2022-09-11 23:54:18,0.534s,PASSED
"click(findTestObject(""Object Repository/BuggyCarRating/Login/button_Login""))",Chrome 105.0.0.0,,,2022-09-11 23:54:18,2022-09-11 23:54:19,0.473s,PASSED
waitForAlert(2),Chrome 105.0.0.0,,,2022-09-11 23:54:19,2022-09-11 23:54:21,2.152s,PASSED
"click(findTestObject(""Object Repository/BuggyCarRating/Login/a_Logout""))",Chrome 105.0.0.0,,,2022-09-11 23:54:21,2022-09-11 23:54:21,0.484s,PASSED
,,,,,,,
Test Cases/TC02_Profile,Chrome 105.0.0.0,,,2022-09-11 23:54:21,2022-09-11 23:54:49,27.654s,PASSED
"openBrowser(""https://buggy.justtestit.org/"")",Chrome 105.0.0.0,,,2022-09-11 23:54:22,2022-09-11 23:54:26,3.719s,PASSED
maximizeWindow(),Chrome 105.0.0.0,,,2022-09-11 23:54:26,2022-09-11 23:54:26,0.213s,PASSED
deleteAllCookies(),Chrome 105.0.0.0,,,2022-09-11 23:54:26,2022-09-11 23:54:26,0.034s,PASSED
"setText(findTestObject(""Object Repository/BuggyCarRating/Login/input_Login""), ""spsanthoshprabu@gmail.com"")",Chrome 105.0.0.0,,,2022-09-11 23:54:26,2022-09-11 23:54:27,1.126s,PASSED
